month,year,review_title,departure_city,arrival_city,review_comment,seat_comfort,food_and_beverages,inflight_entertainment,value_for_money,customer_service,source
Jul,2016.0,Best way to get to East Africa!,Toronto,Nairobi International Economy,"Great airline Considering total time of travel, travel times, and service, this is the best way to get to East Africa from Toronto. Prefer it over flights through Europe.",4.0,5.0,4.0,4.0,4.0,TripAdvisor
Jul,2016.0,Smaller Aircraft,Mumbai,Addis Ababa International Economy,"They have been promoting the use of Dreamliner on this sector. But at the time of checking in, I was informed that the aircraft was an A300. And it turns out that they have two flights out of Mumbai everyday. They use a Dreamliner only for one and a regular A300 for the other i.e. the one which departs at 11:40am. Was a bit upset as i wanted to enjoy the legroom of a Dreamliner. Nevertheless, the checkin person ensured that I got a bulk head seat which had extra legroom space. The started boarding one hour before scheduled time and everything was set for an early departure but the air traffic played spoil sport and we took off half an hour late. We seem to have made up enroute and landed on schedule. The flight was quieter with fewer announcements. The food served was hot and tasty. But what wowed me was the portion size. It was atleast 50% bigger than that served on most other airlines like Turkish, Emirates etc.. Kudos to that. The flight attendants were very helpful and was very patient while responding to any requirements throughout the flight. Only sour point was that it didn't have a personal entertainment system but a common one. The headphones were flimsy but worked and I don;t recall any issues. So I would rate this high. Would definitely fly them.",3.0,5.0,5.0,4.0,4.0,TripAdvisor
Jul,2016.0,Really good airline,Abidjan,Maputo Africa Business Class,"Ethiopian Airlines is a modern airline with mostly new aircrafts. A few short distance flight uses rather old aircrafts On board service is really good Addis Ababa airport is a drawback, old messy and disorganized",4.0,4.0,4.0,3.0,5.0,TripAdvisor
Jul,2016.0,Ethiopian Air - Business Class is Great!,Rome,Blantyre International Business Class,"Ethiopian Air has an excellent business class. The staff is attentive. The seats are comfortable. The amenity pack is well-equipped. Seats are comfortable, spacious and lay completely flat. The food (especially the traditional Ethiopian dishes) is excellent - as good as many restaurants. The Cloud 9 (business) lounge is not as clean as many other lounges and the Wi-Fi was spotty, but it was definitely better than the rest of the Addis airport, which is dirty, ill-equipped and disorganized. (Unannounced gate changes, poor security screening processes, terrible bathrooms, no visible police/security presence...) As far as the airline and the flights go, however, my Ethiopian flights are almost always on time, and business is the way to go!",3.0,5.0,4.0,5.0,5.0,TripAdvisor
Jul,2016.0,"Potentially the fastest and cheapest way from Washington to Harare, Zimbabwe",Washington DC,Harare International Economy,"Without changing airlines this was the fastest and cheapest way to get from Washington, DC to Harare. It also has the fewest stop-overs (only one.) I was not the only one who had figured this out and while the flight DC - Addis was not full this time (on other occasions it had been), the flight was almost full, which means less personalized attention, and less clean bathrooms on the 13 hr plus first leg. The service was however adequate and the choice of movies made me forget that 13 hours in a chair is not my favorite way to spend time. The airport in Addis Ababa is in need of expansion. Ethiopian airlines has outgrown the space and the waiting areas, shops and eating places were all crowded, which made the stop-over (at under 2 hours the shortest of all available options) a bit uncomfortable.",4.0,4.0,5.0,3.0,3.0,TripAdvisor
Jul,2016.0,Not the greatest experience,Addis Ababa,Johannesburg Africa Economy,"Both incoming and outgoing flights not on schedule. The airline itself was average, my problem and frustration was more with the airport in Addis Ababa. No clear indication of when to go where - lots of shouting, calling and what felt like 'people hoarding'.",2.0,3.0,3.0,3.0,2.0,TripAdvisor
Jul,2016.0,Fantastic service all around,Washington DC,Addis Ababa International Economy,"This was a long flight - 13.5 hours. We departed late but made up a little time in the air which meant that we were still able to catch our connecting flight. We left around noon. Within 90 minutes we were served lunch on-board. This was a hot meal, which was pretty tasty, and also came with a side, a bread, and a small dessert. Wine, beer, and spirits were free of charge, which is great on a long flight. The flight attendants that we interacted with were all very professional, polite, and helpful. Several hours into the flight, they announced that there was a snack and drink station set up and we were free to get up to get whatever we wanted. This was particularly great, because I find it difficult to stay properly hydrated on long flights with how infrequently most cabin crews pass through to offer water. I was able to get up and get a cup of water whenever I wanted. This also enabled me to stretch my legs and move around, making the flight more enjoyable. Several hours after that, they announced there were sandwiches available to anyone who wanted one. There were two different types, which was also a nice surprise.",5.0,4.0,3.0,4.0,4.0,TripAdvisor
Jul,2016.0,Always leave late...,Entebbe,Stockholm International Economy,"Overall my experience with Ethiopian is that they ""always"" leave late, but makes up the time inflight most of the time. I fly mostly with the Dreamliner flights with Ethiopian, so the planes have always been new and to high standard. The staff both on airports and in flight have always been good. The inflight food tho, is among the worst I have ever had on a flight. Especially the breakfast, that in my opinion, is a joke! Another thing that I find very annoying is the fact that as a Star alliance member, they have two separate lounges for business/gold card passengers in Addis Abeba! They have one for the the members of their own ""Sheba"" lounge, and then they have a separate one for all the rest of Star Alliance members. This is something that no other airline have, or not what I have seen anyway! The quality of the Star alliance lounge are not up to standards in my opinion! Overall, Ethiopian Airlines are a good company to fly with, it has good staff, but are still falling short on key points. I always book emergency seat, so leg room I have.",3.0,4.0,3.0,1.0,4.0,TripAdvisor
Jul,2016.0,Value for Money,Frankfurt,Entebbe International Business Class,"Ones we were in the aircraft, everything was fine. The service was friendly and attentive, the foods was nice, the selection of beverages very good. Only the ground service in Uganda and Ethiopia was HORRIBLE to disgusting. The security lady at the Cloud Nine security counter squeesed my titts and a full grap between my legs. I was shocked. This experience makes me thinking, whether I would choose the airline or whether I would like to go to these countries again.",3.0,3.0,5.0,5.0,5.0,TripAdvisor
Jul,2016.0,Ethiopian Airline Experience,Harare,Addis Ababa Africa Economy,Booking and payment on line was smooth. Welcome aboard was Ethiopian traditionally sweet. The flight itself was pleasant.The food too was very sumptuous. Flight entertainment was excellent especially that you could listen to a book about the legendary Nelson Mandela. The return flight was another pleasant experience on the newest and largest airbus. The arrival in Harare on 15 July 2016 was awesome with the airbus getting a shower of welcome on its first flight to Harare and traditional music on the ground was all great. well done Ethiopian Airline,5.0,5.0,5.0,5.0,4.0,TripAdvisor
Jul,2016.0,Great service - give it a try,Dublin,Los Angeles International Economy,Flew Dublin to LAX return July 2016. Checkin was very quick and staff extremely helpful. I asked for an upgrade as our flight schedule had been changed and was told it was not available. Waiting to board I was called to be advised We had been upgraded to Business Class ( Cloud Nine). The Dreamliner aircraft & service was excellent. On the return flight we were in coach and service was equally as good and staff very friendly. The seats reclined more that any other aircraft I have flown. The entertainment system worked well but films should be updated to include up to date blockbusters. I must say I had reservations about flying with Ethiopian Airlines but having had such Ia good experience I would have absolutely no problem recommending them. Price also excellent!! Customs not cleared in Dublin.,4.0,5.0,5.0,4.0,5.0,TripAdvisor
Jul,2016.0,Useless airlines,Johannesburg,Riyadh International Economy,Useless airlines..always flights are delayed..30 June coming from riyadh missed connecting flight and had to stay a day in Ethiopia..now going back same problem..will never use this airline ever again.,1.0,2.0,1.0,3.0,2.0,TripAdvisor
Jul,2016.0,Stretched to the limits,Mumbai,Abidjan International Economy,"Ethiopian Airlines has grown rapidly by adding new aircraft. The management is trying to maximize the utilization of the aircraft. Connecting flights have little time between them. At Addis Ababa airport, many passengers are transferred directly from one aircraft to another. The computerized system is heavily relied upon in this. It is amazing to see their smooth operations. However, the operations were in chaos on 4 July 2016 due to a problem in their system. They dont seem to have an effective back-up system. My flight from Mumbai to Addis Ababa was late & the connecting flight to Abidjan was missed. I was directed to the inter-line counter. Processing was slow. Ques grew longer & tempers were running high. I was re-routed via Nairobi, resulting in loss of one day. My baggage did not arrive at Abidjan. Since the system was down, the staff could not give me the exact status of my bags. I had to go again the next day to collect my bags that had just arrived. Without an effective back-up system in place at Ethiopian Airlines, such incidence can recur.",4.0,4.0,4.0,3.0,4.0,TripAdvisor
Jul,2016.0,"Shabby, outdated, unfriendly",Johannesburg,Addis Ababa Africa Economy,"We've been flying with Ethiopian Airlines for 21 years. They are very much the same as they were back in 1995, only more shabby: chairs (old fabric, mine couldn't recline), dirty toilets (difficulty getting soap dispenser to work, not well maintained during a flight), no or only old in-flight magazine (Selamta). The air hostesses aren't friendly and you get the feeling that they're doing you a favor. All in all disappointing. If we had another choice we'd never have flown with them. There is no other choice for travellers from South Africa to Addis Ababa.",2.0,1.0,1.0,3.0,4.0,TripAdvisor
Jul,2016.0,Not bad at all!,Budapest,Vienna Europe Economy,"I was pleasantly surprised! The planes were new, staff professional and the captains landed the crafts very gently... This is arguably best airline in Africa! Well way better than the sub standard South African airlines! Pitty the experience at Addis Abbaba airport did not contribute to my positive experience....its in urgent need of upgrading with open smoking areas and disgraceful toilet facilities... I understand they are introducing flights to Durban and Cape Town!! Will b using Ethiopian Airlines again soon!",3.0,4.0,4.0,3.0,4.0,TripAdvisor
Jul,2016.0,Flying cavemen!,Nairobi,New Delhi International Economy,"This is the most backward company I've dealt with, ever! Should any issue occur, created by their own paleolithic modus operandi, then trust them to waste a lot of your time, and never to respond to emails. Rest assured you will have to make literally 50+ phone calls, most of them with people who are clueless! Ethiopian may have some good deals on international flights, which illustrates the old saying: cheap is expensive!",1.0,1.0,1.0,3.0,3.0,TripAdvisor
Jul,2016.0,Never again,Vientiane,Johannesburg International Economy,"Erhiopian airlines deducted double the amount I should have paid from my account, now my bank says they took the money and when getting in touch with them they say they did not deduct it. They do not communicate and give me correct information. Its been a week and nothing from them though ive phoned endlessly and sent multiple mails. The shorter more afordable flight is turning out to be a nightmare! Next time id stick with Emirates!",1.0,1.0,1.0,3.0,1.0,TripAdvisor
Jul,2016.0,AIRLINE FROM HELL,Durban,Mumbai International Economy,"Its often said that"" you get what you pay for"" i believe that now.A group of seven - 3 kids and four adults booked from Durban SA to Mumbai India. The leg from Durban to Addis Ababa was approx 5 hours 20 min on board a small aircraft that is mostly used in SA for domestic travel 1 to 2 hour flights not comfortable for 5 hours no inflight entertainment ie movies arriving at the Addis airport is a nightmare total chaos small place with people all over 2 flights loading from the same gate flights delayed due to them having to wait for connecting flights. From Addis small plane again no inflight entertainment. The return was with a bigger plane with entertainment Mumbai to Addis - on arrival at Addis (late as usual) - we got off the plane put into a bus and transported within 10 min direct to our Durban plane small plane again with no inflight entertainment seats was uncomfortable the staff put passengers in the wrong seats the inflight service was terrible my wife had ice cubes dropped on her head and eye. Arrived in Durban but our bags did not us together with about 20 other people travelling from different parts of the world did not receive their baggage. My holiday in India was Great except for my flights.",1.0,2.0,2.0,1.0,1.0,TripAdvisor
Jul,2016.0,Flight Experience,Durban,Mumbai International Economy,"We travelled to India in a group of 7 family members. There's virtually no inflight entertainment and when travelling on holiday this is extremely important, especially for the kids. My family does not eat beef and the other option was chicken of fish, and there was never enough. My pre ordered vegetarian meal was poor tasting. The alcohol menu only has wine or beer. The staff are pleasant but are not very experienced and often seemed confused. The Addis Ababa airport is old and needs major upgrading so don't expect much. On my 4th connecting return flight, we were ushered on a bus directly to the connecting flight to Durban. When we got to the plane, our seats were occupied by other passengers. I preselected our seats and I was not happy. The inflight staff just told the passengers to sit anywhere. I insisted we change that and that got sorted. I was still standing with no seat while the plane was taxi to take off. The final straw was when we and the other passengers reached Durban, all our luggage was still in Addis Ababa. We are still waiting for our luggage and was told we might receive it on Friday 15 July 16. Fingers crossed cause in all my travelling this was my greatest fear.",3.0,4.0,4.0,3.0,4.0,TripAdvisor
Jul,2016.0,A very unrelaxing flight,Dublin,Los Angeles International Economy,"We picked this airline as it's the only one currently flying this route direct. We live in LA and we flew outbound on United with a stop in Newark using Airmiles. I should have probably figured it out but in fact Dublin to LAX is the 2nd half of a 2 part flight they fly from Addis Ababa to LAX. We boarded to find the flight 2/3 full of people (mostly Ethiopians) who'd flown the first leg. They had not been let off the plane at Dublin and so the plane had not been cleaned or freshened up in any way for our flight. We had a 2 1/2 hour delay due to a mechanical problem sitting on the tarmac which I do not hold against them as this can happen to any airline. Culturally there is a big difference between this airline and taking a US Airline: the food was very mediocre, they don't use ice at all in the drinks, it did take longer to pick up trash and I think a US flight would have passed out a few more drinks and snacks. We had requested the veggie option and got the exact same bean stew for both meals. But the biggest shock to me was that there were Ethiopian kids running up and down the aisles making a lot of noise and their parents just let them loose. The flight attendants were unfazed as if this was completely normal (we did see one give a kid a ride on her cart at one point). We sat in the exit row (row 28) and never had the usual exit row briefing. Another complication was that we were ticketed OK but then when we tried to check in online we were told there was a lingering problem with my credit card which seemed odd. It was sorted out at the airport OK. From what we could tell, checking in online in advance wouldn't have got us much as we still had to stand in line to check our bags. So with hindsight we would trade the value of this Ethiopian direct flight for two flights on a US airline.",3.0,2.0,3.0,1.0,3.0,TripAdvisor
Jul,2016.0,Abysmal Customer Service,Washington DC,Durban International Economy,"This airline insists you need to fax in a photocopy of your license and credit card in order to verify your credit card. But doesn't notify you of this, And cancels your ticket without telling you when the credit card request form goes to your junk mail. And doesn't refund you the price of your ticket. To add insult to injury, customer service has been inept and RUDE. I have been hung up on twice by the DC office and the central office was unable to help at all. Such a run around. Would NEVER purchase a ticket from them ever again.",3.0,1.0,4.0,3.0,4.0,TripAdvisor
Jul,2016.0,Good service - much better than expected,London,Zanzibar Island International Economy,"We flew with Ethiopian Airlines in Economy from London - Addis Ababa - Tanzania and returning from Zanzibar to London via Tanzania and Addis Ababa. Initially we were a bit reluctant to use this airline. However, we are more than happy that we finally chose it. There was ample leg room in both the long and short flights and the seats were very comfortable. Flight attendants were very professional and efficient. Vast selection of inflight entertainment (games and movies) on 2 of the aircrafts (one aircraft lacked variety but was good enough). Food provided was really good - I, being also a frequent flyer, would rate it as 'much above average'. The Addis Ababa terminal is currently undergoing some refurbishment and therefore may tend to be a bit messy. Also some of the loungers at the terminal, though still comfortable, are not exactly new - wear and tear is quite visible on them. More than happy with the service provided by this airline - will definitely fly again with Ethiopian Airlines. Highly recommended!",4.0,4.0,4.0,5.0,5.0,TripAdvisor
Jul,2016.0,WORST experience ever,Abuja,Muscat Governorate International Economy,First time I got a ridiculous service from a so called Rude Ethiopian airline Manager in Abuja airport when I lay my complain to him the first thing he told me that I'm LYING in my face he told me that. Please teach him customer service. Thanks,4.0,3.0,3.0,4.0,4.0,TripAdvisor
Jul,2016.0,Good enough!,Washington DC,Kilimanjaro National Park International Economy,"We took a flight from D.C. to Addias Ababa, it was about 13 hours. The flight left about 40 minutes late, but that's not as bad as some airlines i've been on. The service was decent, they were friendly...ish, the main problem is it wasnt efficient, they were very slow, they would forget people when passing things out, and when they came to clean up they would just grab the trash from your seat pocket, without asking if it was even trash... The food was good, typical airline food, the plane was pretty clean too, a little old and had a faint scent of vinegar, the personal media sets kept breaking though... Also there is very little leg room... All in all its a decent airline for the price and the fact they get you to where you need to go in less time than some other airlines, I would fly again if it was convenient.",2.0,3.0,3.0,3.0,2.0,TripAdvisor
Jul,2016.0,Worst airline ever,Addis Ababa,Mumbai International Economy,"Please stay away from Ethiopian airlines. We had the worst experience with them. A group of 14 doctors flew this airline to South Africa via Addis. On the return journey on 2nd July, we were booked on flight 640 to Mumbai. We were offloaded from our flight after having been issued boarding cards. The staff was insensitive and arrogant, refusing to our repeated request to re route us on an earlier connection, since one of us had a medical emergency in a family member. They booked us on flight 610, 24 hours later. It was a frightful experience. Never travel by this airline.",1.0,1.0,2.0,1.0,1.0,TripAdvisor
Aug,2016.0,flight was delayed over four hours,Addis Ababa,Vienna,"In short, my flight was delayed over four hours due to mechanical problems, including with the plane's landing gear. The service from all members of staff we encountered was dismal. My flight was scheduled to depart Addis Ababa at 12.50am and arrive in Vienna at 5.50am. At Addis Ababa, we were directed to one entrance for security screening, whereupon staff closed the doors in our faces and directed us to a second entrance, the second entrance directed us back to the first entrance, we were then directed to a third entrance, where we waited a while, until being redirected to a fourth entrance. After boarding, we sat in the plane for forty five minutes before being told that the landing gear was broken. After another half an hour we were told that the air conditioning was also broken. The heat was sweltering. After a full hour and forty five minutes of this heat, the air stewardesses thought to bring us water. A stewardess handed the last cup to the passenger beside me, looked at me, then returned to the back of the plane. I pressed the call button three times over fifteen minutes. There were several other passengers also using their call buttons. Because I was sitting at the very back of the plane, I could hear the stewardesses chatting and laughing behind me. Finally I got out of my seat, walked past the stewardesses sitting around doing nothing, and poured myself a cup of water. In the end, the flight departed over four hours late, meaning that I missed connecting flights from Vienna to London and London to Montreal. In total I was in transit for 50 hours, rather than 38. I spoke to the airline's representative company, Celebi, in Vienna airport. Celebi provided me with accommodation and meals, but told me to call Ethiopian Airlines on the subject of further compensation. I called Ethiopian Airlines, and was told to talk to Austrian Airlines. I spoke to Austrian Airlines, who informed me that because the flight was operated by Ethiopian Airlines, I must speak to Ethiopian Airlines. I called Ethiopian Airlines again and it was confirmed to me that this was correct, but that I must contact Ethiopian Airlines via email. I did so and have been waiting almost a month for a reply.",3.0,3.0,2.0,1.0,1.0,AirlineQuality
Aug,2016.0,I didn't expect such poor service,Harare,London,"Harare to London Heathrow via Addis Ababa. Appalling to say the least. Ethiopian may have new aircraft but don't let this fool you. On the HRE-ADD sector I had to tell the cabin crew to issue an infant seat belt to someone travelling with an infant seated adjacent to me, this being after two cabin crew walked through to secure the cabin. The senior crew member left the trolley unattended in the middle of the cabin during the flight to help a colleague for a good 5 minutes. The crew had zero personality, and even asked 'what does she want' to a pax sat next to the pax the crew member was referring to. They did not offer a choice of meal and instead just said 'chicken' and dumped the tray on my table. I requested fish, she returned with a meal that had fish written on the lid but was actually vegetarian inside. There was no apology, just no personality with any of the crew on all four sectors. Credit where due, one meal was edible, the rest were cold and under cooked on all sectors. Out of all four sectors, I was only able to check in and choose my seat on one. Addis Ababa airport is dismal. They are seemingly meant to be upgrading the airport. I tried to buy a sandwich with my card but couldn't because the system was down. Security is horrendous. I am all for safe flying given the current times but you will need to allow at least an hour to pass through security as they then do a passport check - and don't take any duty free liquids as these are confiscated. I was reluctant to travel with Ethiopian Airlines more on a safety level but had minimal choice as Emirates was full. I didn't expect such poor service as well.",3.0,2.0,3.0,1.0,1.0,AirlineQuality
Aug,2016.0,Ethiopian was a huge disappointment,Johannesburg,Stockholm,"Flying with Ethiopian was a huge disappointment. The aircraft from Addis to Stockholm was a new Boeing 787, but the entertainment system was down during the entire flight. Our departure from Addis was delayed by one hour as the ground crew tried to fix the system, but without success. The cabin crew were arrogant and inattentive. They simply did not respond to calls. At one time I could see 18 unanswered calls in business class only. I had to physically stop the cabin attendants to get their attention. They apologized to me but left all the other calls unattended. The food was tasteless and boring. For breakfast we got a terrible lukewarm Pizza. We had ordered kids meals for our children, but the cabin attendants did not know this so we had to tell them to bring the right meals. Eventually we just found out that the kids meals hardly differ from the adult meals. A major drawback of Ethiopian is that many connections mean changing flights in Addis Ababa. The airport is dirty (especially the toilets) and totally overcrowded. Passengers are only allowed to enter the waiting areas 90 minutes prior to the flights. Until then they have to wait in the general terminal and sit on the floor just to see all the empty chairs in the closed waiting area. Also the restaurant are owercrowded, overpriced and have unpolite staff. I will avoid Ethiopian in the future.",3.0,2.0,1.0,1.0,1.0,AirlineQuality
Aug,2016.0,Good option for family with more Luggage,New Delhi,Lagos International Economy,"Ethopian Airways operting daily flight to Lagos via Adis Abba from Delhi. They allowed 30 kg checked in baggage in Economy higher than other airlines a big advantage for family travelling back from Holidays. Check in and Boarding experience was good. Delhi Abis Abba is 5.5 hr flight,aircraft used them was an old one not having any inflight entertainment system. Food served was average. Addis abba though main hub of Ethopian airways lacks infrastructure required for transit passengers. Wash rooms are inadequate,15 min waiting is normal during peak hours. Lagos flight was average. One should be prepared to get the same menu on different sectors. Experience during return journey was similar. If they could improve on Aircraft,inflight entertainment & food services will be a good value for money with extra baggage allowance provided.",2.0,4.0,3.0,3.0,3.0,TripAdvisor
Aug,2016.0,"Awesome airline. Africa's best, maybe the world",Dublin,Zanzibar Island International Economy,"Just really good airline. Used them multiple times flying to and throughout Africa. Very pleasant crew but most importantly, usually quite affordable",5.0,5.0,5.0,5.0,4.0,TripAdvisor
Aug,2016.0,Discriminating people :(,Sao Tome,Douala Africa Economy,"This airline is like no other, unfortunately in a very bad sense. The flight from Sao Tome to Doula did not have a lot of passengers, nevertheless we all got to our assigned seats, indicated on our boarding passes. Suddenly one of the stewardesses came to us and wanted us to change seats. Completely randomly. When we asked why we were told that what the crew wanted would happen. Watching what unfolded in the cabin it quickly became clear that only white people were subject to their ideas of switching places, taking all their stuff with them every time. That was especially bad. I dared to voice my thoughts once again, and one of the crew came to me, telling me that I should especially do what they say as I was so overweight (I am 1,70m, 80 kilo) - wow, I was truly speechless. An experience with Ethiopian like I had had none before - and will never have again.",2.0,1.0,1.0,1.0,2.0,TripAdvisor
Aug,2016.0,Great airline,Rome,Mombasa International Economy,"I flew so many times with, we are very satisfied, always timely, lots of friendliness. Only one sins the adis abeba airport, which is really a total chaos and unrealistic hygiene.",4.0,5.0,4.0,5.0,4.0,TripAdvisor
Aug,2016.0,International Flight,Addis Ababa,Vienna International Economy,"International Flight service was Excellent, especially from Addis to other destination. But, I have seen some problems in local flights such as delaying or extending flight times. Even though i am satisfied with the service of Ethiopian Airlines.",5.0,5.0,5.0,5.0,5.0,TripAdvisor
Aug,2016.0,Reasonable Price and Service,Hong Kong,Johannesburg International Economy,"We flew from Hong Kong to Johannesburg on Ethiopian and the flights were ok. While I don't think that they bill themselves as a budget airline, the service was about that standard. The flights were very long and we had to transfer in Addis Ababa and that was an interesting experience. The airport is old, not well laid out and really inefficient. However, the price for the flights were quite good and the service was ok so we would fly on them again.",3.0,3.0,4.0,3.0,3.0,TripAdvisor
Aug,2016.0,VERY PLESANT AND MOST IMPORTANT WAS THE UNDERSTANDING OF THE GROUND CREW AT LAGOS,Lagos,Newark International Economy,"Trip was ok, except for the wrong checking of my self and lugages to Lome instead of lagos. That gave me a run around at lome. Eventually the error was corrected.",4.0,5.0,4.0,4.0,4.0,TripAdvisor
Aug,2016.0,improved food services,New Delhi,Dar es Salaam International Economy,this is the first time i was impressed with the food offerings of ethopian airlines and certainly its improvised now and they are trying to serve food as per the the taste palates of passanger which indeed great move and absence of that has been a negative talking points about this airlines over the years. hope they will remain consistant,3.0,4.0,4.0,4.0,3.0,TripAdvisor
Aug,2016.0,the plane was discomforting,Juba,Entebbe Africa Economy,the plane was smelling like food and the service was poor . they only gave us one small cup cake and nothing else. the plane was landing horribly and was not nice to be in,1.0,3.0,3.0,1.0,2.0,TripAdvisor
Aug,2016.0,Average,Stockholm,Blantyre International Economy,"Had read reviews that wasnt to great, but our plane was ok. But I guess intercontinental routes often get the ""best"" planes, so can't vouch for other lines. Nice flightattendants. After the cleaners had been aboard in Vienna, some of the wallpanels in toilet werent properly fastened, and therefore loose. Odd, and felt a little bit unsafe, you felt that you had to hold it while doing what you came for. Didnt expect much from entertainment, but found it adequate. If you have to go into airport in Addis Abeba as we did, expect it to be a little chaotic and if you actually get a seat to sit down, you are blessed. Lots of people pacing up and down cause they couldnt find seating. Avoid Addis with small children if you can. Adequate airlinr. Isn't on level with major Star Alliance Partners. If the pricedifference wasnt very large, would prefer other airline for now.",3.0,3.0,3.0,3.0,4.0,TripAdvisor
Aug,2016.0,Worst of all airlines!!!!,Hong Kong,Nairobi International Economy,I was surprised why this terrible airline can get such high rating. My transit flight addis ababa was delayed and my whole family was forced to wait at the airport for transit flight. But the worst of all was the hostile altitude of the staff and I have been trying to obtain a proof of delay for 6 months without success!!!,3.0,1.0,1.0,3.0,3.0,TripAdvisor
Aug,2016.0,Had forgotten what a good national airline could be,Oskemen,Addis Ababa International Economy,"I'd really forgotten how easy air travel used to be before it succumbed to the free-market frenzy that has taken over Europe. I flew out to Addis with Ethiopian and that gave me a reduction on all my internal flights and these were without exception comfortable, unstressed and inexpensive. Forget having to pay extra for hand baggage or fight for your seat number. The whole experience was so calm and easy. This airline has always been known for being the best maintained in Africa (as well as doing the maintenance for other African airlines) and it was a real pleasure to make use of their scheduled flights, both from the UK and within Ethiopia. Big thanks to them.",3.0,5.0,5.0,3.0,4.0,TripAdvisor
Aug,2016.0,travel,Mombasa,Mumbai International Business Class,"Best airline because of the price from any destination. For residents of Mombasa, Kenya it is the most recommended since it departing and landing in Mombasa. ground service both in Mombasa and Addis is very good. seats very comfortable especially form Addis on-wards. in flight service very good and very polite. food no complaint. latest movies and good music to relax mind relieve stress.",4.0,5.0,5.0,5.0,4.0,TripAdvisor
Aug,2016.0,African adventure,Johannesburg,Blantyre Africa Economy,This was not a long flight but the service was great and there was so much extra leg room compared to our flight with British Airways to Johannesburg. Would recommend the fruit platter.,3.0,4.0,4.0,5.0,4.0,TripAdvisor
Aug,2016.0,Never again!,Washington DC,Harare International Economy,"If you can, please avoid this airline. There was nothing positive about our travel experience. These are a few problems that we had with our flights, listed in no particular order. 1. The airline ran out of food with the second meal served. We sat on the runway in Washington for more than an hour (delayed). I'm not sure what was being loaded on the plane at that time but food apparently wasn't an option. At least 30 people were told that all of the food was gone, several of whom were children. 2. Beware, if you have a special food request. I placed my food request at the time of booking the flight, several months in advance. We even called the day before our flight to ensure that the accommodation was made. To my horror, one meal was prepared on one flight, the snacks and remaining meals were unaccounted for. To make matters worse, I was given what was supposed to be gluten free items but they were not gluten free. I took a couple of bites before I realized that the items were not what they were supposed to be. The food in general is just poor. The meal that my daughter was given made her break out into a rash a couple hours later. The rash (very itchy ring) remained around her mouth for almost a week. 3. Rundown equipment. Many of the seats are broken (will not recline) and/or the television units do not work. This also was the case on the dreamliner and it is only a couple of years old. 4. Filth/Nothing is clean. This includes the cups that you are given during meals for coffee and/or tea. The ones that we were given had been clearly used and not cleaned. Some even had lipstick on them and they were served to us. The bathroom from Addis Abbaba to IAD with a stop in Dublin is worse than an out house toilet. I have never seen diapers, toilet paper, tooth brushes, and other items covering the floor. The bathroom nearest my seat was so overloaded with trash that the door would not fully open. 5. The airport in Ethiopia is not people friendly. The bathrooms are not clean, the airport in general lacks adequate seating, if you have small children I would avoid it entirely. People are stockpiled on top of one another, limited dining options if you are hungry, no places to sit except the floor. 6. Unfriendly flight staff. I have traveled the world on different airlines. I have never experienced a trip where none of the flight staff smile or are welcoming. If you ask a question, they appear to be bothered. In many cases, rushing off to never return with an answer to your question. In addition, they are totally careless with airline protocol. During take-off and landing children were running down the aisles, hopping the aisles (some adults were even walking around).",2.0,1.0,1.0,1.0,2.0,TripAdvisor
Aug,2016.0,Ethiopian Airlines. NOT my favourite Airline,Johannesburg,Mumbai International Economy,"First leg of the flight from SA to Ethipia, the aircon was not working properly. The second leg from Ethiopia to Mumbai was shocking. Old plane, broken seats, torn carpets, panels missing from the back of seats, no entertainment, food quality terrible.",2.0,3.0,2.0,1.0,2.0,TripAdvisor
Aug,2016.0,Wonderful experience on a new airline,Hong Kong,Tokyo North Asia Business Class,"This is the stub leg of the Addis Ababa to Tokyo run, so the plane is not as full as similar short hop flights from local carriers. It is also much less expensive. So much so, in fact, that flying business was within 15% of an economy fare on a local carrier. The once per day flight is on board the new 787 Dreamliner. So the windows dim electronically, and the business class seats lay flat. The food is rather standard, but the Ethiopian snacks were African and exotic. My daughter and I really enjoyed our first sampling of kolo. Service met expectations for business class. The announcements were in English and Ethiopian. Again, we had a great time trying to absorb our first sampling of the spoken Ethiopian language. The airline is a Star Alliance carrier and shares a flight code with ANA. We were invited to the ANA lounges which were flagship quality in Narita. If you're in a rush, skip dinner at the airport and just eat free at the lounge. We had the usual small delays, arriving early in Tokyo and late back in Hong Kong. But this is not unusual for frequent flyers and within tolerable parameters. If you enjoy travelling to absorb new cultures, this is a two-fer: a little bit of East Africa on the way to Japan. Highly recommended.",3.0,4.0,5.0,4.0,5.0,TripAdvisor
Aug,2016.0,Up and down,Dublin,Cape Town Central International Economy,Dublin to Addis Ababa on the Dreamliner was excellent. Addis Ababa to Cape Town much lower standard of aircraft. But then the airfare was very competitive as was the baggage allowance. Addis Ababa Airport was very inadequate and a shambles.,3.0,3.0,4.0,2.0,4.0,TripAdvisor
